ProductCategory,CustomerCountry,CustomerContinent,Profit
Industrial,Wallis and Futuna,Oceania,1018.44
Baby,Algeria,Africa,1261.98
Jewelery,Gabon,Africa,6405.84
Sports,Barbados,North America,2687.1
Beauty,Germany,Europe,3381.84
Health,Brazil,South America,206.04
Industrial,Isle of Man,Europe,107.4
Toys,Switzerland,Europe,3598.71
Baby,Laos,Asia,1878.5
Games,Japan,Asia,4205.62
Grocery,Tajikistan,Asia,2944.62
Automotive,Saint Lucia,North America,1443.84
Games,Tanzania,Africa,4672.08
Movies,Guernsey,Europe,1197.69
Kids,Indonesia,Asia,103.36
Shoes,Turkmenistan,Asia,159.6
Health,Spain,Europe,370.47
Jewelery,Togo,Africa,1791.36
Shoes,Wallis and Futuna,Oceania,1828.95
Health,Aruba,North America,54.45
Beauty,Bolivia,South America,1123.2
Beauty,Rwanda,Africa,4831.04
Grocery,Burundi,Africa,1920.58
Automotive,New Zealand,Oceania,1510.44
Tools,Lebanon,Asia,6995.98
Computers,Belgium,Europe,4166.58
Movies,Puerto Rico,North America,5601.87
Computers,France,Europe,2385.9
Beauty,Aland Islands,Europe,202.1
Health,Nauru,Oceania,2826.88
Automotive,Seychelles,Africa,3547.75
Games,Russia,Europe,3276.72
Books,Ireland,Europe,1814.93
Grocery,Cameroon,Africa,1056.24
Tools,Wallis and Futuna,Oceania,383.91
Jewelery,Montserrat,North America,1595.88
Health,Netherlands,Europe,4151.25
Beauty,Australia,Oceania,7245.46
Jewelery,Belgium,Europe,1264.2
Books,Algeria,Africa,422.28
Clothing,Svalbard and Jan Mayen,Europe,861.22
Outdoors,Mauritania,Africa,3030.66
Electronics,Indonesia,Asia,1307.44
Jewelery,Tajikistan,Asia,698.81
Kids,Bahamas,North America,1226.82
Baby,Zambia,Africa,137.76
Sports,Chile,South America,3093.42
Jewelery,British Indian Ocean Territory,Asia,4899.15
Music,New Caledonia,Oceania,1144.78
Industrial,Jordan,Asia,986.04
Outdoors,Vanuatu,Oceania,4582.27
Automotive,Samoa,Oceania,4532
Sports,Algeria,Africa,583.73
Baby,Western Sahara,Africa,2888.4
Toys,Tunisia,Africa,397.7
Tools,Ecuador,South America,3194.24
Tools,Jordan,Asia,160.08
Sports,Bermuda,North America,3067.2
Tools,Kyrgyzstan,Asia,6665
Home,Yemen,Asia,2015.88
Music,Hong Kong,Asia,1865.8
Industrial,Greenland,North America,3929.64
Grocery,Ireland,Europe,264
Garden,Germany,Europe,956.13
Industrial,Belgium,Europe,11.52
Grocery,New Zealand,Oceania,212.4
Jewelery,Sweden,Europe,1848.91
Health,Oman,Asia,4092.24
Toys,Iraq,Asia,3701.82
Industrial,Saudi Arabia,Asia,200.7
Automotive,Bermuda,North America,3144.33
Movies,Japan,Asia,7942.04
Computers,Equatorial Guinea,Africa,4861.15
Outdoors,Turkmenistan,Asia,6167.45
Electronics,Spain,Europe,629.28
Clothing,North Korea,Asia,1186.6
Computers,El Salvador,North America,2169.96
Clothing,Heard Island and McDonald Islands,Antarctica,1689.29
Automotive,Aruba,North America,1921.72
Music,South Africa,Africa,1759.11
Clothing,New Zealand,Oceania,4891.68
Tools,Netherlands,Europe,1961.38
Home,Hungary,Europe,1487.07
Automotive,Colombia,South America,718.2
Computers,Ukraine,Europe,1822.86
Outdoors,Burkina Faso,Africa,6392.4
Industrial,Marshall Islands,Oceania,2405.78
Games,Venezuela,South America,24.64
Garden,Palau,Oceania,2385.79
Movies,Namibia,Africa,4966.92
Baby,Belgium,Europe,354.2
Clothing,Cyprus,Europe,6604.5
Tools,Montenegro,Europe,1450.08
Computers,Romania,Europe,118.68
Games,Ireland,Europe,587.52
Music,Guernsey,Europe,8924
Jewelery,Uruguay,South America,181.2
Sports,Taiwan,Asia,267.84
Movies,Benin,Africa,222.25
Grocery,Montserrat,North America,6238.96
Computers,Kyrgyzstan,Asia,2154.75
Movies,Mongolia,Asia,5536.44
Toys,Reunion,Africa,4233.58
Games,Chile,South America,2607.36
Health,New Caledonia,Oceania,756.6
Clothing,Solomon Islands,Oceania,2007.72
Jewelery,Palestinian Territory,Asia,1607.2
Health,Bermuda,North America,1591.4
Toys,Curacao,North America,6854.25
Toys,Albania,Europe,2026.53
Outdoors,Tokelau,Oceania,4693.02
Computers,Azerbaijan,Asia,143.88
Sports,Kuwait,Asia,695.97
Music,Rwanda,Africa,3799.92
Jewelery,El Salvador,North America,524.79
Music,Cape Verde,Africa,628.9
Home,Lithuania,Europe,2555.18
Electronics,Togo,Africa,325.26
Tools,Andorra,Europe,201.3
Grocery,Iceland,Europe,71.82
Clothing,Lebanon,Asia,1104.3
Jewelery,Germany,Europe,897.75
Health,Christmas Island,Asia,1026.19
Electronics,Saint Lucia,North America,1931.51
Sports,Senegal,Africa,1209.3
Jewelery,Yemen,Asia,1712.52
Automotive,Norfolk Island,Oceania,3986.1
Toys,Malawi,Africa,3735.78
Jewelery,Azerbaijan,Asia,1246.08
Games,British Virgin Islands,North America,7043.7
Industrial,Vietnam,Asia,2147.98
Health,Chad,Africa,1744.96
Electronics,China,Asia,1535.83
Home,Nigeria,Africa,4214.4
Garden,Gibraltar,Europe,5332.6
Toys,Yemen,Asia,169.5
Games,Haiti,North America,3692.22
Health,Papua New Guinea,Oceania,5524.47
Baby,British Indian Ocean Territory,Asia,1674
Industrial,Bosnia and Herzegovina,Europe,4569.18
Home,Togo,Africa,532.17
Grocery,Macao,Asia,657.85
Automotive,Norfolk Island,Oceania,1765.5
Jewelery,Nicaragua,North America,7410.44
Beauty,Thailand,Asia,841.1
Automotive,Iceland,Europe,702.24
Sports,Saint Vincent and the Grenadines,North America,1518.48
Baby,Burkina Faso,Africa,2196.5
Garden,Serbia,Europe,7974.4
Computers,Cayman Islands,North America,5776.77
Music,Cameroon,Africa,2534.4
Movies,Seychelles,Africa,1022.58
Movies,Paraguay,South America,781.05
Books,Slovenia,Europe,816.52
Clothing,Philippines,Asia,252.81
Home,Vietnam,Asia,56.88
Sports,Ukraine,Europe,3766.14
Books,Bouvet Island,Antarctica,657.9
Jewelery,Lithuania,Europe,720.48
Outdoors,Sierra Leone,Africa,3934.84
Toys,Bangladesh,Asia,913.92
Outdoors,Wallis and Futuna,Oceania,690.12
Sports,Mozambique,Africa,6404.87
Sports,Niue,Oceania,2533.85
Music,Bouvet Island,Antarctica,793.16
Electronics,Ivory Coast,Africa,1698.84
Outdoors,Germany,Europe,5526.95
Home,Rwanda,Africa,5825.56
Home,Rwanda,Africa,1649.01
Computers,Ukraine,Europe,292.32
Baby,Isle of Man,Europe,503.8
Home,Faroe Islands,Europe,5836.47
Toys,Anguilla,North America,6131.04
Books,French Polynesia,Oceania,2199.72
Automotive,Malaysia,Asia,3246.96
Shoes,Mauritius,Africa,1713.8
Beauty,Western Sahara,Africa,2505.67
Baby,Angola,Africa,7695.05
Tools,Guinea,Africa,3086.44
Clothing,Kuwait,Asia,5850.15
Baby,Burundi,Africa,102.07
Electronics,Sint Maarten,North America,467.99
Books,Jamaica,North America,4154.73
Electronics,Estonia,Europe,495.18
Jewelery,Jordan,Asia,4884.74
Health,Paraguay,South America,309.38
Automotive,Curacao,North America,1645.52
Kids,"Bonaire, Saint Eustatius and Saba ",North America,7332.36
Electronics,Svalbard and Jan Mayen,Europe,1419.88
Electronics,Cameroon,Africa,2904.6
Music,Cape Verde,Africa,4071.67
Beauty,Chad,Africa,947.21
Tools,Uzbekistan,Asia,1250.83
Computers,United States,North America,3606.84
Shoes,Kiribati,Oceania,241.67
Toys,Indonesia,Asia,1177.6
Books,Libya,Africa,631.2
Garden,Belarus,Europe,1766.6
Movies,Brazil,South America,1816
Home,Malaysia,Asia,287
Home,Lithuania,Europe,839.63
Shoes,Sint Maarten,North America,1539.24
Automotive,Cuba,North America,3500.64
Garden,French Southern Territories,Antarctica,108.8
Grocery,Latvia,Europe,4343.34
Grocery,Niger,Africa,5126.4
Sports,Saint Helena,Africa,1582
Toys,Puerto Rico,North America,3116.82
Industrial,Macedonia,Europe,3929.4
Kids,Cameroon,Africa,1148.35
Garden,Greenland,North America,355.08
Jewelery,Sri Lanka,Asia,3781.4
Beauty,Benin,Africa,6263.4
Sports,Saint Martin,North America,1782.62
Games,Jordan,Asia,1177.05
Tools,Togo,Africa,313.73
Clothing,Norway,Europe,3934.32
Beauty,Canada,North America,74.88
Jewelery,Macao,Asia,4924.28
Outdoors,British Indian Ocean Territory,Asia,2066.1
Grocery,Qatar,Asia,489.09
Outdoors,United States Minor Outlying Islands,Oceania,397.44
Tools,China,Asia,1413.84
Health,Saint Barthelemy,North America,482.25
Tools,Tonga,Oceania,535.92
Health,Colombia,South America,591.68
Baby,Saudi Arabia,Asia,2663.88
Movies,Equatorial Guinea,Africa,5055.86
Music,Turks and Caicos Islands,North America,3687.34
Garden,Cuba,North America,2079.83
Clothing,East Timor,Oceania,979.08
Clothing,Papua New Guinea,Oceania,912.58
Beauty,Venezuela,South America,3595.59
Sports,Greenland,North America,1138.15
Music,Democratic Republic of the Congo,Africa,2146.52
Shoes,Thailand,Asia,219.3
Grocery,Ireland,Europe,4267.56
Games,Germany,Europe,5310.5
Grocery,Bouvet Island,Antarctica,6774.48
Automotive,United States Minor Outlying Islands,Oceania,5206.76
Computers,Ethiopia,Africa,3843.64
Tools,Isle of Man,Europe,3776.76
Computers,Barbados,North America,3573.76
Sports,Palau,Oceania,442.26
Jewelery,Bahrain,Asia,3436.56
Clothing,Kenya,Africa,2579.36
Sports,Vatican,Europe,4576.77
Home,Mali,Africa,3821.4
Computers,Bhutan,Asia,528.96
Toys,Niue,Oceania,6427.63
Movies,Canada,North America,1412.18
Tools,Pitcairn,Oceania,2102.4
Games,Botswana,Africa,413.16
Baby,Benin,Africa,3386.7
Outdoors,Canada,North America,3636.52
Shoes,Laos,Asia,5060.02
Baby,Netherlands,Europe,2853.9
Books,Gabon,Africa,5820.46
Movies,Hungary,Europe,2376.36
Jewelery,U.S. Virgin Islands,North America,2416.96
Tools,Kazakhstan,Asia,1729.8
Baby,Uruguay,South America,882.28
Automotive,East Timor,Oceania,3221.61
Sports,French Southern Territories,Antarctica,2733.99
Baby,Indonesia,Asia,2363
Books,South Korea,Asia,419.76
Tools,Falkland Islands,South America,7078.98
Books,Saudi Arabia,Asia,281.4
Toys,Belgium,Europe,591.09
Kids,China,Asia,97.92
Tools,Swaziland,Africa,972.82
Baby,Democratic Republic of the Congo,Africa,505.46
Toys,Oman,Asia,3352.96
Garden,Botswana,Africa,7649.75
Books,Turkmenistan,Asia,4703.65
Movies,Mayotte,Africa,5083.2
Home,French Guiana,South America,233.1
Baby,South Korea,Asia,1578.32
Home,Faroe Islands,Europe,1566
Music,Turks and Caicos Islands,North America,863.76
Electronics,Botswana,Africa,825.6
Baby,British Virgin Islands,North America,2929.32
Sports,Saint Helena,Africa,1499.55
Tools,Uzbekistan,Asia,1386
Baby,New Zealand,Oceania,4302.72
Industrial,Cocos Islands,Asia,2875.6
Garden,Tonga,Oceania,2195.64
Computers,Jamaica,North America,1521.45
Outdoors,Fiji,Oceania,60.48
Jewelery,Haiti,North America,855.12
Electronics,Lebanon,Asia,1792.08
Kids,Djibouti,Africa,2266.79
Garden,Dominican Republic,North America,598.41
Outdoors,Democratic Republic of the Congo,Africa,1240.83
Music,Bahrain,Asia,2379.82
Sports,Burkina Faso,Africa,3749.7
Health,Malawi,Africa,2783.04
Kids,Isle of Man,Europe,7941.06
Shoes,Kuwait,Asia,2771.01
Industrial,South Korea,Asia,1428.44
Outdoors,Bangladesh,Asia,5088.61
Kids,Sudan,Africa,1972.74
Games,British Indian Ocean Territory,Asia,2621.4
Garden,Mali,Africa,1997.33
Movies,Gabon,Africa,6241.6
Books,France,Europe,2405
Clothing,Spain,Europe,3292.22
Health,Isle of Man,Europe,7749.36
Shoes,Gibraltar,Europe,982.7
Health,Nepal,Asia,3092.32
Shoes,Armenia,Asia,3711.24
Sports,Kyrgyzstan,Asia,2.8
Electronics,Canada,North America,1765.69
Movies,Saint Vincent and the Grenadines,North America,40.74
Shoes,Equatorial Guinea,Africa,852
Kids,Lesotho,Africa,5876.29
Automotive,Antarctica,Antarctica,418.95
Baby,Thailand,Asia,199.32
Grocery,Australia,Oceania,2591.48
Books,South Africa,Africa,1701.12
Games,Colombia,South America,621.6
Computers,Gambia,Africa,1307.88
Music,United States Minor Outlying Islands,Oceania,3350.16
Automotive,Palau,Oceania,3041.1
Kids,Montenegro,Europe,7229.3
Toys,Mayotte,Africa,2783.61
Health,Uganda,Africa,543.56
Games,Peru,South America,3205.95
Tools,Palau,Oceania,517.57
Sports,Tuvalu,Oceania,2729.53
Industrial,Denmark,Europe,135.54
Automotive,Solomon Islands,Oceania,1351.1
Games,Kazakhstan,Asia,202.5
Grocery,Cape Verde,Africa,2053.52
Automotive,Ukraine,Europe,3402.28
Jewelery,Bolivia,South America,766.08
Industrial,Poland,Europe,6093.9
Music,Vietnam,Asia,2806.94
Sports,Venezuela,South America,2449.52
Sports,Taiwan,Asia,5639.85
Industrial,South Korea,Asia,3557.25
Garden,Chad,Africa,3853.85
Computers,Albania,Europe,2622.68
Outdoors,Czech Republic,Europe,19.32
Clothing,Bosnia and Herzegovina,Europe,2983.05
Music,Gibraltar,Europe,3845.64
Tools,Papua New Guinea,Oceania,4242.96
Sports,Venezuela,South America,1243.35
Books,Israel,Asia,492.24
Kids,Western Sahara,Africa,592.14
Jewelery,Botswana,Africa,3823.54
Electronics,Palau,Oceania,1207.54
Beauty,Myanmar,Asia,228.8
Tools,Tunisia,Africa,3301.46
Kids,Bhutan,Asia,5223.18
Industrial,Republic of the Congo,Africa,1217.52
Automotive,Haiti,North America,3173.76
Tools,Dominica,North America,23.79
Electronics,India,Asia,112.4
Clothing,Serbia,Europe,287.76
Industrial,Macao,Asia,7308.36
Beauty,Belize,North America,95.76
Home,Anguilla,North America,4057.88
Games,India,Asia,5880.6
Sports,Hungary,Europe,3509.84
Tools,Anguilla,North America,199.95
Home,Iceland,Europe,39.42
Computers,Ireland,Europe,149.38
Kids,Cambodia,Asia,399.99
Automotive,Rwanda,Africa,4317.28
Movies,Guatemala,North America,4000.14
Outdoors,Tonga,Oceania,2854.92
Tools,Mongolia,Asia,8.91
Tools,Christmas Island,Asia,5787.68
Health,Lithuania,Europe,2068.15
Outdoors,Peru,South America,2967.23
Movies,Slovakia,Europe,18.15
Health,Saint Lucia,North America,3285.94
Books,American Samoa,Oceania,6633.98
Movies,South Sudan,Africa,94.05
Beauty,Italy,Europe,3943.56
Music,East Timor,Oceania,4758.9
Home,Mozambique,Africa,2339.3
Outdoors,Togo,Africa,4233.56
Clothing,Belize,North America,91.8
Kids,Fiji,Oceania,131.12
Beauty,Ethiopia,Africa,4071.23
Clothing,Egypt,Africa,6612.51
Computers,Wallis and Futuna,Oceania,6617.62
Movies,Sierra Leone,Africa,1088.23
Baby,Greenland,North America,1190.68
Health,Ethiopia,Africa,3843.75
Electronics,Kyrgyzstan,Asia,14.28
Outdoors,Algeria,Africa,3869
Shoes,Antarctica,Antarctica,275.1
Beauty,Honduras,North America,58.52
Clothing,Liechtenstein,Europe,478.8
Computers,Taiwan,Asia,5562.91
Games,Jamaica,North America,1614.52
Sports,Panama,North America,2282.16
Tools,Wallis and Futuna,Oceania,4618.28
Health,Bhutan,Asia,1921
Music,Bangladesh,Asia,1700.68
Books,Marshall Islands,Oceania,865.28
Jewelery,Haiti,North America,489.8
Games,"Bonaire, Saint Eustatius and Saba ",North America,4565
Sports,Papua New Guinea,Oceania,152.57
Industrial,Malta,Europe,1507.28
Computers,Cape Verde,Africa,4693.68
Clothing,Canada,North America,2371.5
Home,Guatemala,North America,5061.24
Sports,Anguilla,North America,7211.76
Sports,United States,North America,2585.4
Shoes,Greenland,North America,4981.52
Beauty,Venezuela,South America,97.28
Tools,Ivory Coast,Africa,564.3
Tools,Fiji,Oceania,5298.63
Automotive,Belarus,Europe,2499.2
Tools,Grenada,North America,1160.56
Garden,Antigua and Barbuda,North America,1963.92
Music,Brazil,South America,869.2
Games,Kuwait,Asia,1656.6
Kids,Lithuania,Europe,6060
Industrial,Kenya,Africa,3339.44
Electronics,Palestinian Territory,Asia,1063.34
Tools,French Polynesia,Oceania,501.73
Grocery,French Polynesia,Oceania,3849.44
Baby,Sierra Leone,Africa,1394.4
Industrial,Brazil,South America,7275.86
Movies,Germany,Europe,6839.28
Beauty,South Sudan,Africa,5025.78
Kids,Cameroon,Africa,774.02
Automotive,Haiti,North America,1480.49
Grocery,Lithuania,Europe,677.6
Baby,El Salvador,North America,4411.7
Automotive,Dominican Republic,North America,1835.52
Shoes,Kenya,Africa,1605.05
Computers,Zimbabwe,Africa,4184.46
Kids,Seychelles,Africa,3402.6
Jewelery,Trinidad and Tobago,North America,7077.78
Health,British Virgin Islands,North America,5345.76
Grocery,Canada,North America,2780.55
Outdoors,Indonesia,Asia,4753.8
Toys,Cyprus,Europe,3551.14
Movies,Canada,North America,937.2
Electronics,Reunion,Africa,2070.88
Jewelery,Northern Mariana Islands,Oceania,3055.78
Books,Cyprus,Europe,424.8
Toys,Sudan,Africa,927.57
Toys,Nepal,Asia,5934.84
Health,Nigeria,Africa,3040.08
Books,Zambia,Africa,1687.14
Electronics,Liechtenstein,Europe,1575.04
Music,Uzbekistan,Asia,5274
Tools,Laos,Asia,285.36
Clothing,Marshall Islands,Oceania,4395.44
Games,Finland,Europe,2118.5
Jewelery,Lithuania,Europe,65.52
Home,Rwanda,Africa,1595.44
Beauty,Estonia,Europe,42
Health,Slovakia,Europe,5548.12
Games,Mozambique,Africa,7639.62
Health,Ivory Coast,Africa,3367.4
Books,Austria,Europe,817.19
Baby,Montenegro,Europe,1045.48
Home,Mayotte,Africa,4738.26
Baby,Sao Tome and Principe,Africa,1270.4
Movies,Northern Mariana Islands,Oceania,6149.29
Garden,Pitcairn,Oceania,2284.48
Tools,Nauru,Oceania,2475.57
Industrial,Wallis and Futuna,Oceania,115.08
Movies,Luxembourg,Europe,331.1
Movies,Vatican,Europe,2233.76
Kids,Ireland,Europe,4809.72
Computers,Gibraltar,Europe,74.98
Grocery,Malaysia,Asia,1739.35
Jewelery,Albania,Europe,79.32
Health,Palau,Oceania,475.2
Sports,New Zealand,Oceania,156.91
Tools,Guyana,South America,3121.69
Kids,Lesotho,Africa,824.22
Home,Panama,North America,874.47
Kids,Algeria,Africa,60.84
Books,Turkey,Asia,111.54
Toys,Laos,Asia,500.91
Industrial,Algeria,Africa,575.64
Home,Saint Lucia,North America,80.04
Music,Eritrea,Africa,79.92
Automotive,Mauritania,Africa,234.85
Jewelery,Iraq,Asia,1061.91
Clothing,Mozambique,Africa,578
Electronics,Liberia,Africa,851.7
Toys,Guernsey,Europe,1577.07
Tools,Luxembourg,Europe,299.2
Health,Saint Martin,North America,107.18
Sports,Kenya,Africa,532.65
Music,Latvia,Europe,2582.16
Clothing,Latvia,Europe,2142
Industrial,South Sudan,Africa,2830.24
Kids,Norfolk Island,Oceania,1798.26
Books,Sint Maarten,North America,480.24
Industrial,Israel,Asia,9109.8
Grocery,Wallis and Futuna,Oceania,23.67
Games,Liechtenstein,Europe,511.7
Movies,Central African Republic,Africa,847.21
Computers,Iraq,Asia,2293.08
Baby,Mongolia,Asia,314.18
Movies,New Zealand,Oceania,196.62
Garden,Afghanistan,Asia,209.71
Industrial,Belarus,Europe,7425.6
Jewelery,Argentina,South America,3832.65
Sports,Algeria,Africa,37.52
Books,Tanzania,Africa,4952.64
Books,Guinea-Bissau,Africa,120.36
Computers,Luxembourg,Europe,2563.68
Grocery,Fiji,Oceania,3819.4
Tools,Niger,Africa,424.16
Baby,Samoa,Oceania,1740.4
Books,Myanmar,Asia,462.8
Jewelery,British Virgin Islands,North America,2938
Beauty,Zimbabwe,Africa,5218.53
Electronics,Guam,Oceania,97.68
Electronics,Switzerland,Europe,4640.95
Movies,Iran,Asia,8900.36
Computers,Pitcairn,Oceania,942.49
Home,Panama,North America,4578.84
Jewelery,Grenada,North America,6644.5
Industrial,Andorra,Europe,4678.77
Health,Djibouti,Africa,2463.16
Clothing,Vatican,Europe,877.92
Tools,Egypt,Africa,1699.11
Outdoors,Cyprus,Europe,2610
Computers,Democratic Republic of the Congo,Africa,4179
Health,Slovakia,Europe,9159.94
Jewelery,Guernsey,Europe,3175.2
Garden,Anguilla,North America,1235.4
Electronics,Haiti,North America,1859.55
Baby,Saint Barthelemy,North America,1965.82
Computers,Haiti,North America,3849.58
Jewelery,Jersey,Europe,603.5
Shoes,Japan,Asia,4634.64
Tools,Bangladesh,Asia,772.72
Computers,Swaziland,Africa,195.73
Outdoors,Iraq,Asia,3747.9
Home,Saudi Arabia,Asia,507.6
Home,Slovakia,Europe,5806.35
Automotive,United States,North America,5813.44
Baby,Tunisia,Africa,2333.34
Kids,Chile,South America,1058.23
Sports,Georgia,Asia,61.68
Home,Belarus,Europe,1509.84
Home,Norfolk Island,Oceania,6357.96
Computers,Barbados,North America,2444.47
Grocery,Brazil,South America,3809
Games,Cameroon,Africa,1869.38
Beauty,Saint Martin,North America,746.32
Health,Turkmenistan,Asia,718.2
Tools,Saint Barthelemy,North America,199.92
Baby,Ivory Coast,Africa,2957.04
Tools,Kuwait,Asia,2944.1
Automotive,Christmas Island,Asia,1822.04
Industrial,Western Sahara,Africa,121.25
Grocery,Kyrgyzstan,Asia,4581.94
Industrial,East Timor,Oceania,2779.36
Toys,Kuwait,Asia,1270.88
Automotive,Algeria,Africa,5373.2
Movies,Portugal,Europe,3771.88
Beauty,Tanzania,Africa,1317.5
Electronics,Cambodia,Asia,1991.78
Toys,India,Asia,1955.7
Clothing,Belgium,Europe,3325.14
Kids,Isle of Man,Europe,138.6
Sports,Kyrgyzstan,Asia,1737.84
Shoes,Tonga,Oceania,1492.96
Toys,British Indian Ocean Territory,Asia,5058.18
Kids,Guam,Oceania,61.29
Industrial,India,Asia,2094.1
Beauty,Mauritius,Africa,1262.28
Computers,British Virgin Islands,North America,3057.39
Clothing,Senegal,Africa,11.1
Movies,Mexico,North America,603.33
Home,Haiti,North America,155.94
Electronics,Romania,Europe,8351.7
Toys,Saint Barthelemy,North America,1906.7
Movies,Tajikistan,Asia,1714.18
Shoes,Cayman Islands,North America,4039.2
Home,Brazil,South America,132.99
Grocery,Philippines,Asia,3585.5
Sports,Vietnam,Asia,4482.72
Movies,Solomon Islands,Oceania,4926.18
Shoes,Iran,Asia,2168.84
Games,Heard Island and McDonald Islands,Antarctica,3132.36
Toys,Ukraine,Europe,6809.51
Books,Comoros,Africa,2087.02
Home,Andorra,Europe,342.2
Kids,Sweden,Europe,473.04
Computers,French Southern Territories,Antarctica,4582.38
Industrial,Mongolia,Asia,452.57
Jewelery,Namibia,Africa,56.32
Industrial,Italy,Europe,68.25
Electronics,Montenegro,Europe,1037.37
Electronics,Sierra Leone,Africa,4152.64
Books,Argentina,South America,1083.89
Health,Hungary,Europe,1788.48
Industrial,Zimbabwe,Africa,6963.25
Beauty,Libya,Africa,1087.8
Grocery,Ghana,Africa,816.63
Sports,Saint Barthelemy,North America,2718.17
Jewelery,Sint Maarten,North America,1908.83
Computers,Northern Mariana Islands,Oceania,274.05
Automotive,Cambodia,Asia,2420
Clothing,Christmas Island,Asia,4947.92
Music,Argentina,South America,1171.95
Baby,Greenland,North America,275.31
Computers,British Virgin Islands,North America,3657.36
Tools,Cameroon,Africa,4896.45
Jewelery,Turks and Caicos Islands,North America,1475.76
Toys,Saint Helena,Africa,4528.62
Kids,Algeria,Africa,387.45
Electronics,Vanuatu,Oceania,5253.52
Games,Pitcairn,Oceania,213.18
Kids,Central African Republic,Africa,2251.48
Electronics,Lebanon,Asia,24
Beauty,Macedonia,Europe,551.2
Garden,South Sudan,Africa,3655.56
Tools,Mauritius,Africa,147.68
Grocery,Monaco,Europe,3174.42
Industrial,Vatican,Europe,4842.75
Clothing,Azerbaijan,Asia,6396.92
Jewelery,Sao Tome and Principe,Africa,2016.3
Games,Isle of Man,Europe,178.29
Toys,Seychelles,Africa,6380.28
Movies,Vietnam,Asia,455.52
Computers,Tokelau,Oceania,1762.88
Sports,Sint Maarten,North America,1307.88
Music,China,Asia,4461.6
Electronics,Malaysia,Asia,2214.51
Industrial,Australia,Oceania,1180.5
Shoes,Uruguay,South America,4320.8
Tools,Gabon,Africa,2260.23
Baby,Cameroon,Africa,6287.8
Clothing,Rwanda,Africa,652.32
Grocery,Senegal,Africa,6484.25
Grocery,Azerbaijan,Asia,2571.8
Garden,Kyrgyzstan,Asia,197.4
Outdoors,Czech Republic,Europe,246.48
Outdoors,Chad,Africa,1906.52
Baby,South Sudan,Africa,1734.16
Home,Paraguay,South America,45.99
Toys,Bahamas,North America,118.17
Kids,Northern Mariana Islands,Oceania,582.9
Movies,Sudan,Africa,3555.11
Computers,Tuvalu,Oceania,1361.04
Grocery,Portugal,Europe,2417.94
Health,Afghanistan,Asia,3127.28
Games,Guinea,Africa,2235.65
Industrial,British Indian Ocean Territory,Asia,2124.74
Games,Sint Maarten,North America,1508.49
Sports,South Korea,Asia,2201.58
Clothing,Bhutan,Asia,57.96
Baby,Ukraine,Europe,4272.68
Jewelery,Burkina Faso,Africa,35.7
Music,Mauritius,Africa,2829.6
Clothing,Reunion,Africa,1365.14
Toys,Albania,Europe,936.12
Outdoors,Liberia,Africa,3902.41
Electronics,Comoros,Africa,1648.2
Shoes,Palestinian Territory,Asia,916.55
Home,Egypt,Africa,301.32
Kids,Azerbaijan,Asia,308.57
Home,Anguilla,North America,7575.4
Jewelery,Bulgaria,Europe,1955.77
Jewelery,United Kingdom,Europe,1658.74
Electronics,San Marino,Europe,707.5
Outdoors,Azerbaijan,Asia,1519.96
Garden,Swaziland,Africa,113.15
Toys,Mauritania,Africa,1773.75
Outdoors,South Africa,Africa,813.1
Toys,Heard Island and McDonald Islands,Antarctica,230.3
Beauty,Curacao,North America,196.68
Automotive,Ecuador,South America,2701.8
Outdoors,Saint Martin,North America,754.38
Electronics,Somalia,Africa,4370.9
Industrial,Albania,Europe,8811
Toys,Senegal,Africa,1035.15
Baby,Nigeria,Africa,733.12
Music,Montserrat,North America,2757.9
Toys,Yemen,Asia,331.36
Toys,Pakistan,Asia,479.36
Clothing,Saint Pierre and Miquelon,North America,6141.72
Clothing,Niger,Africa,1125.12
Computers,Chad,Africa,250.12
Music,Vanuatu,Oceania,3416.28
Sports,Croatia,Europe,180.36
Sports,Norfolk Island,Oceania,935.36
Sports,Bhutan,Asia,264.48
Grocery,Trinidad and Tobago,North America,15.84
Toys,Sri Lanka,Asia,2164.64
Books,Senegal,Africa,2910.42
Kids,Kenya,Africa,1604.74
Music,Pitcairn,Oceania,2641.8
Industrial,India,Asia,4959.9
Industrial,San Marino,Europe,671.34
Outdoors,South Sudan,Africa,880.26
Toys,Guyana,South America,4253.2
Grocery,Madagascar,Africa,5376.49
Movies,Botswana,Africa,28.62
Baby,Belarus,Europe,170.94
Computers,Mauritania,Africa,2619.36
Jewelery,Sint Maarten,North America,2015.92
Tools,Angola,Africa,4585.44
Kids,Antigua and Barbuda,North America,1835.31
Games,Bangladesh,Asia,1287.9
Garden,Anguilla,North America,3356.64
Movies,Estonia,Europe,3910.4
Outdoors,South Sudan,Africa,3140.61
Kids,Iceland,Europe,255.27
Toys,Martinique,North America,460.08
Automotive,United Kingdom,Europe,5928.46
Industrial,Germany,Europe,1224
Automotive,Cape Verde,Africa,1485.98
Home,Spain,Europe,1465.08
Beauty,Christmas Island,Asia,1828.54
Industrial,Saint Barthelemy,North America,860.01
Garden,Maldives,Asia,4383.59
Home,Tuvalu,Oceania,1265.88
Movies,Germany,Europe,3938.56
Jewelery,Tokelau,Oceania,820.91
Beauty,Sierra Leone,Africa,366.62
Automotive,Iraq,Asia,2850.33
Beauty,United Arab Emirates,Asia,2757.1
